epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,1258.36,0.97644,1.15939,1.33918,0.78523,0.68422,0.7556,0.50068,1.18757,1.18145,1.51842,0.001486,0.001486,0.001486
88,1272.64,0.98163,1.18099,1.35955,0.76287,0.70309,0.76353,0.50284,1.1796,1.18887,1.51577,0.001387,0.001387,0.001387
89,1288.22,0.96277,1.13856,1.33037,0.80331,0.67899,0.76869,0.50747,1.18528,1.17478,1.51947,0.001288,0.001288,0.001288
90,1303.46,1.00129,1.19694,1.36344,0.79815,0.7127,0.78121,0.52762,1.16564,1.14578,1.5127,0.001189,0.001189,0.001189
91,1320.85,1.00377,1.13323,1.43634,0.79472,0.67172,0.75374,0.48127,1.24498,1.2438,1.5904,0.00109,0.00109,0.00109
92,1334.97,0.97065,1.0847,1.39754,0.75701,0.71389,0.7678,0.50907,1.16754,1.18103,1.52419,0.000991,0.000991,0.000991
93,1348.48,0.96427,1.00492,1.39616,0.76704,0.7194,0.76978,0.50789,1.17079,1.17491,1.51274,0.000892,0.000892,0.000892
94,1362.61,0.94921,0.99984,1.39101,0.78967,0.71767,0.76548,0.5145,1.15035,1.15112,1.48928,0.000793,0.000793,0.000793
95,1376.55,0.95533,1.0014,1.39642,0.80796,0.70552,0.77496,0.52899,1.13531,1.11095,1.46676,0.000694,0.000694,0.000694
96,1390.57,0.92722,0.96009,1.36893,0.82135,0.696,0.7771,0.53073,1.13095,1.12363,1.46181,0.000595,0.000595,0.000595
97,1405.34,0.91305,0.95769,1.34454,0.8067,0.71368,0.78559,0.53329,1.13412,1.10429,1.47553,0.000496,0.000496,0.000496
98,1419.28,0.89096,0.92818,1.33313,0.77787,0.72922,0.78419,0.53509,1.12244,1.09655,1.46472,0.000397,0.000397,0.000397
99,1433.85,0.89611,0.94716,1.33889,0.8264,0.7052,0.78476,0.53798,1.11427,1.09145,1.45771,0.000298,0.000298,0.000298
100,1448.5,0.89733,0.92354,1.34853,0.8234,0.70122,0.78757,0.53795,1.11033,1.08573,1.45483,0.000199,0.000199,0.000199
