epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,2653.22,0.94272,1.05507,1.3241,0.83345,0.7623,0.83196,0.60284,1.01985,0.91739,1.36237,0.001882,0.001882,0.001882
84,2684.23,0.95638,1.05176,1.33319,0.8346,0.76459,0.82783,0.59339,1.03595,0.94557,1.36202,0.001783,0.001783,0.001783
85,2715.64,0.92751,1.02699,1.31093,0.85541,0.75201,0.8343,0.60198,1.0159,0.92364,1.35338,0.001684,0.001684,0.001684
86,2745.84,0.92865,1.02629,1.31029,0.8725,0.7619,0.83797,0.6033,1.01813,0.91364,1.35396,0.001585,0.001585,0.001585
87,2777.66,0.92994,1.03101,1.31665,0.84529,0.77242,0.83448,0.6046,1.01516,0.91942,1.35115,0.001486,0.001486,0.001486
88,2808.72,0.91928,1.01226,1.30637,0.84545,0.7537,0.83314,0.59609,1.01801,0.90889,1.34957,0.001387,0.001387,0.001387
89,2839.81,0.9194,1.00391,1.30021,0.86428,0.75861,0.8353,0.60613,1.00825,0.89185,1.35377,0.001288,0.001288,0.001288
90,2871.49,0.92555,1.0142,1.30746,0.8303,0.78255,0.83694,0.60614,1.00468,0.9057,1.33821,0.001189,0.001189,0.001189
91,2904.49,0.92207,0.93996,1.36448,0.85928,0.75147,0.83442,0.60672,1.01003,0.92205,1.33432,0.00109,0.00109,0.00109
92,2934.04,0.89854,0.86445,1.33611,0.86788,0.76757,0.83816,0.6113,0.99828,0.89475,1.33068,0.000991,0.000991,0.000991
93,2962.92,0.88919,0.85159,1.3338,0.85575,0.77337,0.83733,0.6156,0.99671,0.87926,1.32731,0.000892,0.000892,0.000892
94,2991.68,0.88602,0.82237,1.32441,0.86209,0.76617,0.83768,0.61678,0.99736,0.88215,1.32524,0.000793,0.000793,0.000793
95,3020.53,0.87376,0.82282,1.32545,0.85322,0.77809,0.84413,0.61731,0.97753,0.87127,1.31221,0.000694,0.000694,0.000694
96,3049.61,0.846,0.80432,1.29834,0.8789,0.76327,0.84637,0.62121,0.98017,0.867,1.31512,0.000595,0.000595,0.000595
97,3079.13,0.84558,0.7903,1.28976,0.84736,0.78656,0.84794,0.62002,0.9838,0.86594,1.31972,0.000496,0.000496,0.000496
98,3107.56,0.84176,0.78717,1.29027,0.87647,0.76855,0.84984,0.62857,0.97179,0.85719,1.3064,0.000397,0.000397,0.000397
99,3136.66,0.84496,0.78456,1.29914,0.86978,0.76755,0.85019,0.6304,0.97351,0.85132,1.30319,0.000298,0.000298,0.000298
100,3166.08,0.84598,0.78679,1.29936,0.87971,0.76832,0.85299,0.63056,0.97152,0.84631,1.30515,0.000199,0.000199,0.000199
